性別,球隊,分類,動作,球員,異動,0
men,oversea,lost,離隊,馬建豪,原 CBA江蘇 / 加盟 夢想家,
women,oversea,lost,離隊,黃郁婷,原 WCBA陝西天澤,
men,braves,lost,離隊,曾祥鈞,旅外 日本 B1,
men,braves,lost,離隊,張宗憲,加盟 夢想家,
men,braves,lost,離隊,謝宗融,加盟 獵鷹,
men,braves,lost,離隊,林孟學,加盟 雲豹,
men,braves,lost,離隊,張文平,香港東方,
men,pilots,lost,離隊,張鎮衙,加盟 勇士,
men,pilots,lost,離隊,陳昱翰,,
men,pilots,lost,離隊,李學林,,
men,pilots,lost,離隊,周儀翔,,
men,ghosthawks,lost,離隊,呂濟而,加盟 雲豹,
men,ghosthawks,lost,離隊,李漢昇,加盟 攻城獅,
men,ghosthawks,lost,離隊,蘇奕晉,加盟 戰神,
men,ghosthawks,lost,離隊,簡偉儒,加盟 夢想家,
men,ghosthawks,lost,離隊,藍少甫,加盟 裕隆,
men,ghosthawks,lost,離隊,胡凱翔,,
men,ghosthawks,lost,離隊,吳宏興,,
men,steelers,lost,離隊,邱柏璋,轉任 體能訓練師,
men,steelers,lost,離隊,林郅為,加盟 勇士,
men,steelers,lost,離隊,陳又瑋,加盟 勇士,
men,steelers,lost,離隊,陳冠全,加盟 戰神,
men,steelers,lost,離隊,王律翔,加盟 戰神,
men,steelers,lost,離隊,呂政儒,加盟 國王,
men,steelers,lost,離隊,施晉堯,加盟 特攻,
men,steelers,lost,離隊,李睿麒,加盟 特攻,
men,steelers,lost,離隊,張伯維,,
men,steelers,lost,離隊,盧哲毅,,
men,mars,lost,離隊,林秉聖,旅外 CBA,
men,mars,lost,離隊,劉彥廷,加盟 鋼鐵人,
men,mars,lost,離隊,林勵,加盟 柏力力,
men,mars,lost,離隊,孫思堯,旅外 日本 B3 一賽季,
men,mars,lost,離隊,許敬恩,,
men,dea,lost,離隊,劉韋辰,轉任 助理教練,
men,dea,lost,離隊,阿巴西,旅外 日本 B1,
men,dea,lost,離隊,陳鈺安,加盟 鋼鐵人,
men,dea,lost,離隊,譚傑龍,,
men,kings,lost,離隊,李威廷,加盟 鋼鐵人,
men,kings,lost,離隊,楊敬敏,,
men,kings,lost,離隊,翟振皓,,
men,kings,lost,離隊,戴維斯,,
men,leopards,lost,離隊,李啓瑋,加盟 攻城獅,
men,leopards,lost,離隊,蔣淯安,加盟 夢想家,
men,leopards,lost,離隊,金德偉,工作證問題 三年無法出賽,
men,leopards,lost,SBL台啤,陳孝榕,,
men,leopards,lost,SBL台啤,鄭駿龍,原名 鄭瑋,
men,leopards,lost,SBL台啤,盧捷閔,,
men,leopards,lost,SBL台啤,朱億宗,,
men,leopards,lost,SBL台啤,吳沛嘉,,
men,leopards,lost,SBL台啤,阿拉薩,,
men,lioneers,lost,離隊,呂奇旻,退役 轉任助理教練,
men,lioneers,lost,離隊,宋宇軒,退役 轉任體能助教,
men,lioneers,lost,離隊,劉光尚,加盟 裕隆,
men,lioneers,lost,離隊,張傑瑋,,
men,lioneers,lost,離隊,施顏宗,涉賭,
men,dreamers,lost,離隊,吳松蔚,退役,
men,dreamers,lost,離隊,錢肯尼,加盟 戰神,
men,dreamers,lost,離隊,林耀宗,,
men,aquas,lost,離隊,王詠誠,加盟 臺銀,
men,beer,lost,離隊,楊天佑,加盟 柏力力,
men,beer,lost,離隊,黃泓諭,加盟 柏力力,
men,beer,lost,離隊,簡肇熠,,
men,beer,lost,離隊,陳建銘,,
men,beer,lost,離隊,呂蔡瑜倫,,
men,beer,lost,台啤雲豹,王皓吉,,
men,beer,lost,台啤雲豹,董永全,,
men,bank,lost,離隊,桑一慶,回歸教練團,
men,bank,lost,離隊,陳俊翰,加盟 雲豹,
men,bank,lost,離隊,蔡嘉駿,,
men,bank,lost,離隊,蔡亞軒,,
men,yulon,lost,離隊,伊波卡,,
men,bll,lost,離隊,郭翰,加盟 臺銀,
men,bll,lost,離隊,蔣浩偉,,
men,bll,lost,離隊,楊浩之,,
men,bll,lost,離隊,陳昶宏,,
men,bll,lost,離隊,陳奕綸,涉賭,
women,cathay,lost,離隊,陳薇安,旅外 WCBA,
women,cathay,lost,離隊,黃凡珊,,
women,taiyuen,lost,離隊,黃品蓁,退役,
women,taiyuen,lost,離隊,彭曉彤,旅外 WCBA,
women,taipower,lost,離隊,劉希曄,旅外 WCBA,
women,taipower,lost,離隊,王維琳,旅外 WCBA,
women,taipower,lost,離隊,廖瑋晴,加盟 台元,
men,braves,lost,Via 交易,陳范柏彥,至 鋼鐵人,
men,dreamers,lost,Via 交易,丁冠皓,至 雲豹,
men,dreamers,lost,Via 交易,楊盛硯,至 雲豹,
men,yulon,lost,租借結束,吳岱豪,回歸 獵鷹,
men,yulon,lost,租借結束,藍少甫,回歸 獵鷹,
men,bll,lost,租借結束,王振原,回歸 夢想家,
men,braves,lost,離隊洋將,漢米爾頓 Jordan Hamilton,,
men,mars,lost,離隊洋將,牧倫斯 Byron Mullens,,
men,mars,lost,離隊洋將,塞瑟夫 Ihor Zaytsev,,
men,dea,lost,離隊洋將,浩勝 Chevez Goodwin,,
men,leopards,lost,離隊洋將,桑德斯 Larry Sanders,,
men,lioneers,lost,離隊洋將,艾夫伯 Michael Efevberha,,
men,lioneers,lost,離隊洋將,力契 Matej Radunic,,
men,dreamers,lost,離隊洋將,揚科維奇 Stefan Janković,,
